                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92279,                0.70088,                 1.1553,                0.94243,                0.92754,                0.95733,                0.70139,                 1.0353,                0.56908,                  1.177,               0.006634,               0.006634,               0.006634
                     36,                 0.9308,                0.70141,                 1.1615,                0.95824,                0.92562,                 0.9531,                  0.702,                 1.0409,                0.55738,                 1.1837,               0.006535,               0.006535,               0.006535
                     37,                0.91328,                 0.6842,                 1.1537,                0.95912,                0.92031,                0.95409,                0.70676,                0.99749,                0.54267,                 1.1623,               0.006436,               0.006436,               0.006436
                     38,                0.91108,                0.68361,                 1.1508,                0.95819,                0.92282,                0.95299,                0.70476,                 1.0086,                0.54155,                 1.1632,               0.006337,               0.006337,               0.006337
                     39,                0.90688,                0.68326,                 1.1513,                0.95576,                 0.9263,                0.95418,                0.71253,                 1.0106,                0.53445,                 1.1616,               0.006238,               0.006238,               0.006238
                     40,                0.89332,                0.66383,                 1.1351,                0.95563,                0.92842,                0.95852,                0.71243,                 1.0014,                0.52987,                 1.1591,               0.006139,               0.006139,               0.006139
                     41,                0.88961,                0.66132,                 1.1333,                0.93832,                0.93093,                0.96199,                0.71388,                 1.0114,                0.53611,                 1.1645,                0.00604,                0.00604,                0.00604
                     42,                0.88463,                0.64883,                 1.1328,                0.94913,                0.92558,                0.96316,                0.71633,                 1.0035,                0.53248,                 1.1635,               0.005941,               0.005941,               0.005941
                     43,                0.87686,                0.64681,                 1.1312,                0.95378,                0.92583,                0.96122,                 0.7178,                0.99044,                0.53633,                 1.1515,               0.005842,               0.005842,               0.005842
                     44,                0.87298,                0.64158,                 1.1251,                0.94986,                0.92087,                 0.9585,                0.72252,                0.97702,                0.53346,                  1.143,               0.005743,               0.005743,               0.005743
                     45,                0.87236,                 0.6421,                 1.1253,                0.95118,                 0.9304,                0.95835,                 0.7205,                0.98463,                0.53382,                 1.1525,               0.005644,               0.005644,               0.005644
                     46,                 0.8697,                0.63544,                 1.1277,                0.95045,                0.92422,                0.95918,                0.71975,                0.98904,                0.53086,                 1.1538,               0.005545,               0.005545,               0.005545
                     47,                 0.8612,                0.63727,                 1.1193,                0.95285,                0.92987,                0.95813,                0.71568,                0.98581,                0.52979,                 1.1543,               0.005446,               0.005446,               0.005446
                     48,                0.85953,                0.62744,                 1.1193,                0.95421,                0.92453,                0.95981,                0.71743,                0.99023,                0.53767,                 1.1583,               0.005347,               0.005347,               0.005347
                     49,                0.85432,                0.62665,                  1.116,                0.94409,                0.93138,                0.95762,                0.71979,                0.99366,                0.53965,                 1.1646,               0.005248,               0.005248,               0.005248
                     50,                0.84881,                0.62309,                 1.1156,                0.94957,                0.92588,                0.95716,                0.72178,                0.99081,                0.53226,                 1.1667,               0.005149,               0.005149,               0.005149
                     51,                0.84276,                0.60735,                 1.1102,                0.94793,                0.93447,                 0.9594,                0.72233,                0.98745,                 0.5212,                 1.1639,                0.00505,                0.00505,                0.00505
                     52,                0.83242,                 0.6024,                 1.1011,                0.94623,                 0.9277,                0.95703,                0.72119,                0.98961,                 0.5211,                 1.1664,               0.004951,               0.004951,               0.004951
                     53,                0.82781,                0.60258,                 1.0983,                0.94724,                0.92196,                0.95681,                0.71564,                0.99096,                0.52603,                 1.1683,               0.004852,               0.004852,               0.004852
                     54,                0.82571,                0.59735,                 1.1022,                0.95363,                0.92654,                 0.9587,                0.72233,                0.98771,                0.51657,                  1.166,               0.004753,               0.004753,               0.004753
                     55,                0.81863,                0.58744,                 1.0943,                0.95082,                0.93497,                0.95811,                0.72149,                0.98343,                0.51615,                 1.1602,               0.004654,               0.004654,               0.004654
                     56,                0.82091,                 0.5852,                 1.0949,                0.95043,                0.93883,                0.95999,                0.72405,                0.97297,                 0.5077,                 1.1534,               0.004555,               0.004555,               0.004555
                     57,                0.81095,                0.57958,                 1.0886,                0.95527,                0.94021,                0.96113,                0.72815,                0.96892,                0.50962,                 1.1533,               0.004456,               0.004456,               0.004456
                     58,                0.81135,                0.58431,                 1.0903,                0.95789,                0.93697,                0.96121,                0.72686,                0.96657,                0.51317,                 1.1549,               0.004357,               0.004357,               0.004357
                     59,                0.79357,                0.56513,                 1.0807,                0.95167,                0.94025,                0.96083,                0.72877,                0.96278,                0.51279,                 1.1523,               0.004258,               0.004258,               0.004258
                     60,                0.79218,                0.56098,                 1.0796,                0.95224,                0.93658,                0.96029,                0.73005,                0.96115,                0.51032,                 1.1508,               0.004159,               0.004159,               0.004159
                     61,                0.78923,                 0.5612,                 1.0773,                0.95751,                0.93454,                0.95988,                0.73222,                0.95804,                0.50961,                 1.1478,                0.00406,                0.00406,                0.00406
                     62,                0.78647,                0.56046,                 1.0778,                0.95856,                0.93523,                 0.9608,                0.73309,                0.95649,                0.51175,                 1.1465,               0.003961,               0.003961,               0.003961
                     63,                 0.7752,                0.55386,                 1.0721,                0.96022,                0.93429,                  0.961,                0.73509,                0.95673,                0.51301,                 1.1473,               0.003862,               0.003862,               0.003862
                     64,                0.77394,                0.54623,                 1.0672,                0.96268,                0.93614,                 0.9604,                0.73196,                0.95447,                 0.5074,                 1.1483,               0.003763,               0.003763,               0.003763
                     65,                0.77576,                0.54562,                 1.0676,                0.96306,                 0.9342,                0.95986,                0.73067,                0.95514,                0.50628,                 1.1493,               0.003664,               0.003664,               0.003664
                     66,                0.76646,                0.54065,                  1.067,                0.96213,                0.93074,                0.95891,                0.73174,                0.95426,                0.50455,                 1.1492,               0.003565,               0.003565,               0.003565
                     67,                0.76192,                0.53461,                 1.0609,                0.96197,                0.93028,                0.95922,                0.73273,                0.95347,                0.50754,                 1.1503,               0.003466,               0.003466,               0.003466
                     68,                0.75472,                 0.5273,                 1.0605,                0.96375,                0.92933,                0.95851,                0.73229,                0.95184,                0.50933,                 1.1505,               0.003367,               0.003367,               0.003367
                     69,                0.74986,                0.52469,                 1.0566,                0.96329,                0.93201,                0.95816,                0.73445,                0.95116,                0.51012,                 1.1506,               0.003268,               0.003268,               0.003268
                     70,                0.74996,                0.51678,                 1.0564,                0.96268,                0.93093,                0.95857,                0.73417,                0.94943,                0.50938,                 1.1501,               0.003169,               0.003169,               0.003169
                     71,                0.74376,                0.51672,                 1.0521,                0.96145,                0.92994,                 0.9602,                0.73555,                0.94818,                 0.5069,                   1.15,                0.00307,                0.00307,                0.00307
                     72,                0.73893,                0.51769,                 1.0507,                0.96134,                0.92941,                0.96092,                0.73735,                0.94712,                0.50482,                   1.15,               0.002971,               0.002971,               0.002971
                     73,                0.73754,                0.51447,                 1.0499,                0.95987,                0.93059,                0.96003,                 0.7365,                0.94672,                0.50537,                 1.1511,               0.002872,               0.002872,               0.002872
                     74,                 0.7282,                0.50449,                  1.048,                0.96031,                0.92991,                0.95956,                0.73686,                0.94708,                0.50567,                 1.1515,               0.002773,               0.002773,               0.002773
                     75,                0.72184,                0.50001,                 1.0428,                0.96049,                0.93156,                 0.9594,                0.73627,                0.94687,                0.50587,                 1.1516,               0.002674,               0.002674,               0.002674
                     76,                0.72515,                0.50686,                 1.0446,                0.95976,                0.93169,                0.95918,                0.73556,                0.94682,                0.50494,                 1.1521,               0.002575,               0.002575,               0.002575
                     77,                0.71369,                0.50013,                  1.039,                0.95912,                0.93144,                0.95939,                0.73428,                0.94808,                0.50529,                 1.1537,               0.002476,               0.002476,               0.002476
                     78,                0.70636,                0.48901,                 1.0366,                 0.9585,                0.93132,                0.95935,                0.73487,                0.94778,                0.50556,                 1.1544,               0.002377,               0.002377,               0.002377
                     79,                0.70523,                0.48517,                 1.0331,                 0.9585,                0.93132,                0.95836,                0.73523,                0.94648,                 0.5064,                 1.1544,               0.002278,               0.002278,               0.002278
                     80,                0.70008,                0.48172,                 1.0324,                0.95998,                0.93132,                0.95807,                0.73705,                 0.9451,                0.50486,                 1.1534,               0.002179,               0.002179,               0.002179
                     81,                0.69261,                0.48029,                 1.0296,                 0.9615,                0.93128,                0.95819,                0.73829,                0.94444,                0.50584,                 1.1531,                0.00208,                0.00208,                0.00208
